Time (s),X (rad/s),Y (rad/s),Z (rad/s)
341987.244862134,-0.466553,0.337219,-0.132751
341987.249805982,-0.414352,0.299942,-0.192413
341987.254719312,-0.360016,0.25946,-0.250992
341987.25966316,-0.31102,0.216843,-0.303192
341987.264607007,-0.275864,0.173172,-0.346878
341987.269550855,-0.24498,0.133759,-0.382019
341987.274494702,-0.219406,0.100739,-0.404404
341987.27943855,-0.205566,0.069839,-0.415054
341987.284382398,-0.202362,0.042145,-0.426773
341987.289326245,-0.211945,0.016571,-0.438492
341987.294239576,-0.2258,-0.005798,-0.447006
341987.299183423,-0.241776,-0.0271,-0.450211
341987.304127271,-0.257751,-0.044144,-0.452332
341987.309071119,-0.26947,-0.054794,-0.451263
341987.313984449,-0.275864,-0.066513,-0.44487
341987.318928296,-0.278,-0.075027,-0.433167
341987.323872144,-0.272675,-0.078232,-0.412918
341987.328815992,-0.268402,-0.0793,-0.392685
341987.333759839,-0.262024,-0.086746,-0.375641
341987.338673169,-0.256699,-0.098465,-0.355392
341987.343617017,-0.253494,-0.113388,-0.335159
341987.348560865,-0.249237,-0.132553,-0.319183
341987.353504712,-0.243912,-0.157059,-0.30426
341987.35844856,-0.238586,-0.176239,-0.287216
341987.36336189,-0.235382,-0.195404,-0.268036
341987.36827522,-0.234314,-0.209259,-0.248871
341987.373219068,-0.232193,-0.23909,-0.231827
341987.378162915,-0.227936,-0.276367,-0.228622
341987.383106763,-0.224731,-0.306198,-0.224365
341987.388050611,-0.221542,-0.332825,-0.220108
341987.392963941,-0.216217,-0.360519,-0.215851
341987.397907788,-0.208755,-0.387161,-0.215851
341987.402851636,-0.201294,-0.409531,-0.221176
341987.407795484,-0.19278,-0.427643,-0.226501
341987.412708814,-0.177856,-0.440414,-0.231827
341987.417652661,-0.162949,-0.450012,-0.235016
341987.422596509,-0.148041,-0.453201,-0.236084
341987.427540357,-0.13205,-0.455338,-0.235016
341987.432484204,-0.11821,-0.455338,-0.230759
341987.437397535,-0.111816,-0.45108,-0.226501
341987.442341382,-0.10968,-0.444687,-0.220108
341987.44728523,-0.107559,-0.438293,-0.215851
341987.452229077,-0.113953,-0.432968,-0.209457
341987.457172925,-0.119278,-0.434036,-0.204132
341987.462116773,-0.127792,-0.435089,-0.203064
341987.467030103,-0.133118,-0.437225,-0.201996
341987.471943433,-0.138443,-0.442551,-0.19986
341987.476887281,-0.141647,-0.448944,-0.198807
341987.481861646,-0.139511,-0.458527,-0.196671
341987.486805494,-0.135254,-0.469177,-0.194534
341987.491749341,-0.126724,-0.479828,-0.192413
341987.496693189,-0.120331,-0.489426,-0.191345
341987.501637036,-0.117142,-0.505402,-0.193481
341987.506580884,-0.112885,-0.51712,-0.195602
341987.511524732,-0.110748,-0.525635,-0.195602
341987.516438062,-0.111816,-0.53949,-0.194534
341987.52138191,-0.11821,-0.554398,-0.194534
341987.526325757,-0.12886,-0.565063,-0.194534
341987.531269605,-0.143768,-0.576767,-0.191345
341987.536213452,-0.15976,-0.593811,-0.189209
341987.5411573,-0.174667,-0.606598,-0.175369
341987.54607063,-0.187454,-0.61087,-0.163651
341987.551014478,-0.199173,-0.620453,-0.148727
341987.555958326,-0.205566,-0.62471,-0.127426
341987.560902173,-0.207687,-0.623642,-0.102921
341987.565815503,-0.208755,-0.627914,-0.07843
341987.570759351,-0.204498,-0.634293,-0.060318
341987.575703199,-0.194901,-0.641754,-0.037949
341987.580647046,-0.179993,-0.656662,-0.015579
341987.585590894,-0.156555,-0.670517,0.0078579999999999
341987.590534742,-0.124603,-0.686493,0.031296
341987.595448072,-0.084122,-0.702469,0.049408
341987.600391919,-0.037247,-0.713135,0.063248
341987.605335767,0.013885,-0.71846,0.080292
341987.610279615,0.070343,-0.722717,0.098404
341987.615223462,0.121475,-0.723785,0.116516
341987.62016731,0.165146,-0.719513,0.138885
341987.625111158,0.198181,-0.712067,0.153809
341987.630055005,0.212021,-0.704605,0.16658
341987.634998853,0.212021,-0.700348,0.167648
341987.639942701,0.200302,-0.688629,0.162323
341987.644886548,0.179001,-0.668381,0.153809
341987.649799878,0.152374,-0.637497,0.144211
341987.654743726,0.127869,-0.599152,0.136765
341987.659687574,0.108688,-0.552277,0.125046
341987.664631421,0.10231,-0.495819,0.115448
341987.669575269,0.101242,-0.436157,0.105865
341987.674519117,0.103363,-0.374374,0.096283
341987.679432447,0.110825,-0.321106,0.087753
341987.684376294,0.118286,-0.269974,0.076035
341987.689320142,0.125732,-0.223114,0.068573
341987.69426399,0.138519,-0.190079,0.05899
341987.699207837,0.154495,-0.159195,0.052597
341987.704121167,0.174744,-0.127228,0.045151
341987.709065015,0.189651,-0.096344,0.040878
341987.714008863,0.205627,-0.062256,0.037689
341987.71895271,0.215225,-0.0271,0.045151
341987.723896558,0.226944,-0.0025939999999999,0.057922
341987.728809888,0.240784,0.0027309999999999,0.076035
341987.733753736,0.25676,-0.011124,0.096283
341987.738697583,0.280197,-0.033493,0.123978
341987.743641431,0.307892,-0.077164,0.154861
341987.748585279,0.331329,-0.122971,0.18576
341987.753498609,0.349442,-0.154922,0.224106
341987.758442456,0.357971,-0.175171,0.264587
341987.763386304,0.352646,-0.185822,0.305069
341987.768330152,0.334534,-0.192215,0.346619
341987.773273999,0.304703,-0.198608,0.381775
341987.778217847,0.267426,-0.20607,0.410538
341987.783131177,0.221619,-0.215652,0.427582
341987.788075025,0.179001,-0.224167,0.439285
341987.793018872,0.141724,-0.225235,0.444626
341987.79796272,0.110825,-0.212448,0.448883
341987.802906568,0.085251,-0.195404,0.455276
341987.807819898,0.065018,-0.169846,0.466995
341987.812763745,0.043716,-0.148544,0.480835
341987.817707593,0.024536,-0.132553,0.503204
341987.822620923,0.005371,-0.120834,0.523453
341987.827534253,-0.005295,-0.115509,0.543686
341987.832478101,-0.008484,-0.113388,0.559662
341987.837391431,-0.003159,-0.104858,0.56926
341987.842335279,0.009628,-0.100601,0.577774
341987.847279126,0.0256039999999999,-0.091019,0.582031
341987.852222974,0.045837,-0.077164,0.585236
341987.857166822,0.065018,-0.06012,0.594818
341987.862080152,0.075668,-0.038818,0.604416
341987.866993482,0.079926,-0.0121919999999999,0.61293
341987.871967847,0.078873,0.0176389999999999,0.620392
341987.876881177,0.070343,0.04747,0.624649
341987.881825025,0.058624,0.081558,0.627838
341987.886768872,0.043716,0.108185,0.628906
341987.89171272,0.026672,0.135895,0.627838
341987.896656568,0.005371,0.167847,0.622513
341987.901600415,-0.017014,0.201935,0.615067
341987.906513745,-0.036179,0.238159,0.603348
341987.911457593,-0.047897,0.267975,0.591629
341987.916401441,-0.061752,0.293549,0.573517
341987.921345288,-0.073471,0.316986,0.556473
341987.926289136,-0.080917,0.337219,0.543686
341987.931202466,-0.083054,0.354263,0.531967
341987.936146314,-0.08519,0.368118,0.514923
341987.941090161,-0.08519,0.373444,0.496811
341987.946034009,-0.081985,0.380905,0.478714
341987.950977857,-0.07666,0.38623,0.459534
341987.955921704,-0.072403,0.391556,0.436096
341987.960865552,-0.06601,0.404327,0.414795
341987.965778882,-0.056427,0.417114,0.393478
341987.97072273,-0.044708,0.435226,0.374313
341987.975666577,-0.030853,0.45546,0.353012
341987.980610425,-0.019135,0.472504,0.331696
341987.985554273,-0.008484,0.487427,0.311462
341987.990467603,0.0010989999999999,0.497009,0.290161
341987.995411451,0.00856,0.502335,0.268845
341988.000355298,0.013885,0.504471,0.24968
341988.010242994,0.021347,0.490616,0.207062
341988.015156324,0.019211,0.482101,0.184692
341988.020100171,0.020279,0.476776,0.162323
341988.025044019,0.022415,0.471451,0.143143
341988.029987867,0.02774,0.471451,0.130371
341988.034901197,0.037323,0.47464,0.118652
341988.039845044,0.046906,0.479965,0.109055
341988.044788892,0.056503,0.488495,0.098404
341988.04973274,0.068207,0.500214,0.088821
341988.054676587,0.076736,0.51619,0.077103
341988.059620435,0.08313,0.537491,0.060059
341988.064564283,0.08313,0.564117,0.047272
341988.06950813,0.079926,0.590759,0.031296
341988.074451978,0.072479,0.62059,0.008926
341988.079395826,0.062881,0.649338,-0.013443
341988.084309156,0.051163,0.67598,-0.035812
341988.089253003,0.038391,0.703674,-0.058182
341988.094166333,0.023468,0.731369,-0.074158
341988.099110181,0.010696,0.748413,-0.081619
341988.104054029,0.007492,0.753738,-0.083755
341988.108997876,0.007492,0.747345,-0.082687
341988.113911206,0.019211,0.733505,-0.07843
341988.118855054,0.047974,0.714325,-0.068832
341988.123798902,0.092712,0.694092,-0.053925
341988.128742749,0.145981,0.671722,-0.039017
341988.133686597,0.210953,0.646149,-0.02623
341988.138630445,0.285522,0.619522,-0.018768
341988.143543775,0.36116,0.593948,-0.016647
341988.148487622,0.439987,0.567322,-0.024094
341988.15343147,0.514557,0.552399,-0.030487
341988.158375318,0.574219,0.547073,-0.037949
341988.163288648,0.60405,0.536423,-0.034744
341988.168232495,0.602982,0.52684,-0.025162
341988.173176343,0.573151,0.521515,-0.012375
341988.178120191,0.514557,0.508728,0.0057369999999999
341988.183064038,0.439987,0.484222,0.027039
341988.188007886,0.355835,0.476776,0.046204
341988.192951734,0.283401,0.469315,0.068573
341988.197865064,0.238663,0.432037,0.086685
341988.202808911,0.218414,0.371307,0.08989
341988.207752759,0.217346,0.313782,0.080292
