Time (s),X (µT),Y (µT),Z (µT)
342015.530151403,-10.990695129675895,-41.29773027689133,8.80179069269615
342015.535125768,-11.277504850333855,-41.57294547759578,8.997350882500383
342015.540069616,-11.093352150848172,-41.37924153785608,9.532998036935664
342015.545013464,-10.909199451362488,-41.18553759811638,10.068645191370944
342015.549957311,-10.725046789125663,-40.99183369755749,10.604292237460022
342015.554901159,-10.61511485230831,-40.83514223863522,11.104655929899277
342015.559845007,-11.182447811851556,-41.01618988510157,11.283057823875655
342015.564788854,-11.74978065663946,-41.19723749494712,11.4614596817664
342015.569702184,-12.313611512707972,-41.377167547977166,11.638760314336611
342015.574615514,-12.84917882306071,-41.54859431975623,11.780517286293817
342015.579559362,-12.844173476878373,-41.55745006810615,11.23915816022312
342015.58450321,-12.839168130696036,-41.56630581645607,10.697799034152425
342015.589447057,-12.83416278552614,-41.57516156301473,10.1564400175833
342015.594390905,-12.813981628440798,-41.55034875566358,9.723537891958372
342015.599334753,-12.633370419637872,-41.16961110403866,10.43718156226217
342015.6042786,-12.452759247367464,-40.78887352942615,11.150825088216124
342015.609222448,-12.272148038564538,-40.40813587780123,11.86446875851992
342015.614135778,-12.09153774218214,-40.06521394459234,12.491098641242289
342015.619049108,-11.90008464854824,-40.06748881488341,12.313672920576137
342015.623992956,-11.707442388806724,-40.06977781499916,12.13514516154836
342015.628936803,-11.514800168031266,-40.07206681465191,11.956617438631682
342015.633850133,-11.3850704886664,-40.08835313768946,11.836716582288377
342015.638793981,-11.961597982980898,-40.26524663418022,12.37503811404115
342015.643737829,-12.538125477295395,-40.442140130670985,12.913359645793925
342015.648681676,-13.114652854994764,-40.61903359138121,13.451681068659546
342015.653625524,-13.641357,-40.78064,13.943481
342015.658569372,-13.641357,-40.78064,13.943481
342015.663482702,-13.641357,-40.78064,13.943481
342015.668457067,-13.641357,-40.78064,13.943481
342015.673400915,-13.641357,-40.78064,13.943481
342015.678344762,-14.017697174377544,-40.95238246027615,14.46990938031914
342015.683258092,-14.394037348755091,-41.12412492055229,14.996337760638283
342015.68820194,-14.772715072094677,-41.29693411894753,15.526035927702988
342015.69311527,-15.149055246472225,-41.46867657922368,16.05246430802213
342015.698059118,-14.831315059412622,-41.48427416888143,15.933018665453186
342015.703002966,-14.452813502093136,-41.48615529228377,15.756936243760553
342015.712890661,-13.695810464014276,-41.48991753870796,15.404771435991751
342015.717803991,-13.319665373743156,-41.64401582447977,15.383112107546363
342015.722747839,-12.941187132243291,-41.82331468354476,15.385738031854371
342015.727691686,-12.562708967298828,-42.00261350634267,15.388363955631233
342015.732635534,-12.184230725798969,-42.181912365407655,15.39098987993924
342015.737579382,-12.259271477041324,-41.93042144041047,15.665570195531677
342015.742492712,-12.453571402105371,-41.5667607345217,16.010247537555777
342015.747436559,-12.649078136159089,-41.20084130923863,16.35706569211365
342015.752380407,-12.844584909758266,-40.83492180994043,16.703883916823
342015.757324255,-12.899191835545798,-40.981138966246,16.931354213637686
342015.762237585,-12.896232005791845,-41.33446946146029,17.10894448381478
342015.767181432,-12.893253792350125,-41.68999451448415,17.287637778269705
342015.77212528,-12.890275578305994,-42.04551963942063,17.466331108869213
342015.777069128,-12.68358895826055,-42.18679120228658,17.441320963618658
342015.782012975,-12.343868361159632,-42.1881420873645,17.28328002425423
342015.786956823,-12.004147695342876,-42.18949297271567,17.125239052922602
342015.791900671,-11.664427029526117,-42.19084385806684,16.967198081590976
342015.796814001,-11.353850057018906,-42.20684784890417,16.822999233966097
342015.801757848,-11.35117154041877,-42.39090263994624,16.825295069512794
342015.806701696,-11.348493023276845,-42.57495746821738,16.82759090552387
342015.811645544,-11.34581450613492,-42.759012296488514,16.82988674153495
