Time (s),X (rad/s),Y (rad/s),Z (rad/s)
87246.300334698,-0.003098,-0.009918,-0.0004269999999999
87246.305278545,0.0011599999999999,-0.005661,-0.001495
87246.310222393,0.004364,-0.000336,-0.000427
87246.31516624,0.006485,0.001801,0.002762
87246.320079571,0.006485,0.003937,0.005966
87246.325023418,0.005432,0.005005,0.007019
87246.329936748,0.006485,0.006058,0.005966
87246.334880596,0.004364,0.006058,0.007019
87246.339824444,9.200000000000008e-05,0.005005,0.008087
87246.344768291,-0.003098,0.000732,0.008087
87246.349712139,-0.0062869999999999,-0.001389,0.007019
87246.354625469,-0.007355,-0.003525,0.00383
87246.359569317,-0.009491,-0.00885,0.00383
87246.364513164,-0.008423,-0.012054,0.00383
87246.369457012,-0.007355,-0.016312,0.0006259999999999
87246.37440086,-0.005234,-0.015244,0.001694
87246.379344707,-0.003098,-0.016312,0.00383
87246.384258037,-0.000961,-0.016312,0.0006259999999999
87246.389201885,9.200000000000008e-05,-0.016312,0.000626
87246.394145733,0.003296,-0.016312,0.000626
87246.399059063,0.005432,-0.012054,0.000626
87246.40400291,0.005432,-0.007782,0.000626
87246.408946758,0.008621,-0.0035249999999999,0.000626
87246.413890606,0.009689,-0.000336,0.0027619999999999
87246.418834453,0.008621,0.001801,0.00383
87246.423778301,0.007553,0.005005,0.004898
87246.428722149,0.005432,0.009262,0.007019
87246.433635479,0.002228,0.007126,0.008087
87246.438579326,9.200000000000008e-05,0.008194,0.009155
87246.443523174,-0.003098,0.009262,0.008087
87246.448467022,-0.008423,0.01033,0.011292
87246.453410869,-0.008423,0.008194,0.011292
87246.458354717,-0.009491,0.003937,0.009155
87246.463268047,-0.009491,-0.000336,0.011292
87246.468211895,-0.008423,-0.001389,0.010223
87246.473155742,-0.006287,-0.004593,0.009155
87246.47809959,9.200000000000008e-05,-0.004593,0.011292
87246.483043438,0.005432,-0.002457,0.009155
87246.487987285,0.01181,-0.003525,0.007019
87246.492931133,0.018204,0.0028689999999999,0.007019
87246.497874981,0.022476,0.007126,0.007019
87246.502788311,0.022476,0.009262,0.005966
87246.507732158,0.021408,0.01033,0.007019
87246.512676006,0.019272,0.012451,0.008087
87246.517619854,0.013947,0.013519,0.008087
87246.522533184,0.007553,0.012451,0.007019
87246.527477031,0.00116,0.01033,0.007019
87246.532420879,-0.004166,0.011383,0.007019
87246.537334209,-0.007355,0.008194,0.004898
87246.542278057,-0.011627,0.003937,0.002762
87246.547221905,-0.011627,0.000732,0.002762
87246.552165752,-0.007355,-0.003525,0.001694
87246.5571096,-0.004166,-0.005661,-0.000427
